Name,Category,Cuisine,lat,lng
KFC,fast_food,chicken,2.9917474,101.7887923
Sate Kajang Hj Samuri,restaurant,satay,2.9935811,101.7870848
Malee Classic II,restaurant,seafood,2.9996241,101.7884951
McDonald Good,fast_food,burger,3.0901073,101.7415909
Secret Recipe,fast_food,cake;malaysian,3.0908222,101.7429635
Old Town,cafe,N/A,3.1332340,101.6890616
Restoran Win Heng Seng,restaurant,chinese,3.1454922,101.7150729
Hai Kah Kia,restaurant,N/A,3.1454249,101.7149940
Steam Era Seafood Steamboat Restaurant,restaurant,N/A,3.1445994,101.7140074
Pizza Hut,restaurant,pizza,3.1445538,101.7139565
Chen Jiu Ru,restaurant,N/A,3.1443449,101.7131357
Restoran Chef Rasa Sayang,restaurant,N/A,3.1449770,101.7139645
Restoran Oversea,restaurant,N/A,3.1445976,101.7134509
Restoran Fong Lye,restaurant,N/A,3.1447145,101.7135756
Pure Mind Vegetarian Restaurant,restaurant,N/A,3.1449100,101.7138438
U Cafe,cafe,N/A,3.1450096,101.7114796
Starbucks,cafe,coffee_shop,3.1447766,101.7115735
Tealive,cafe,tea;coffee_shop,3.1453167,101.7111404
Lotteria,fast_food,burger,3.1575724,101.6124514
Blue Boy Vegetarian Restaurant,restaurant,chinese,3.1448602,101.7061467
Voilà Meat Free Restaurant,restaurant,N/A,3.1419175,101.6971822
Shan Yuan Restuarant,restaurant,N/A,3.1533923,101.5917643
Sate Kajang Hj Samuri,restaurant,N/A,2.9916234,101.7885320
Restoran Malaysia,restaurant,chinese,2.9928041,101.7897131
Yishensu - A Vegetarian Connoisseur,restaurant,N/A,3.1493123,101.6166088
Taste Vegetarian House,restaurant,asian,3.1525762,101.5912879
Love Health Vegetarian,restaurant,N/A,3.1505387,101.5926094
Meeples European Boardgame Cafe,restaurant,N/A,3.1513817,101.5931037
Starbucks,cafe,coffee_shop,3.1526378,101.5926080
Tasty Chicken Rice,restaurant,chicken,3.1530554,101.5920018
Medan Satay Kajang,restaurant,N/A,2.9942718,101.7852996
La Chica Mexicana,restaurant,mexican,3.1478855,101.7073937
Pinchos,restaurant,tapas,3.1479897,101.7072015
Herbs & Spices,restaurant,N/A,3.1463506,101.7081705
The Pirates Club KL,restaurant,N/A,3.1485587,101.7087168
Restoran Heritage One Station,restaurant,malaysian,3.1404499,101.6935743
Starbucks,cafe,coffee_shop,3.1493097,101.7127191
VCR,cafe,coffee_shop;international;breakfast;sandwich;savory_pancakes;cake;tea,3.1432531,101.7054476
Vistana Corner,restaurant,indian,3.1426367,101.7043311
Hadramawt Palace,restaurant,arab;jemenite,3.1474516,101.7215001
Levain,cafe,N/A,3.1461634,101.7204323
Al Andalus,restaurant,arab,3.1453002,101.7202356
Fukuya,restaurant,japanese,3.1458916,101.7203257
Yarl,restaurant,indian,3.1339617,101.6906715
Unnamed,restaurant,N/A,3.1270573,101.7300419
Unnamed,restaurant,N/A,3.1276102,101.7297160
Unnamed,restaurant,N/A,3.1277505,101.7296328
YW Coffee Shop,cafe,coffee_shop,3.1456912,101.7073698
Noy Thai Seafood,restaurant,N/A,3.1462436,101.7091044
Birdnest Collective,cafe,N/A,3.1427638,101.6967977
Al-Muhammadi,restaurant,indian,3.1459712,101.7131361
Halab - Berangan,restaurant,arab,3.1476624,101.7085848
Restaurant Yenn,restaurant,N/A,3.1460531,101.7093955
Cu Cha Restaurant,restaurant,N/A,3.1461610,101.7095591
Lot 10 Hutong Food Court,food_court,N/A,3.1469293,101.7118546
Zu Chuan,restaurant,chinese,3.1459247,101.7119460
Hong Kong's Food Culture,restaurant,N/A,3.1440610,101.7104800
Yusoof Dan Zakhir,restaurant,N/A,3.1450281,101.6958385
The Loaf Bakery & Bistro,cafe,italian,3.1490063,101.7126152
Cafe de Paris,cafe,N/A,3.1491160,101.7127059
Sushi Zanmai,restaurant,sushi,3.1473219,101.7132001
O'Briens,cafe,sandwich,3.1519347,101.6667532
Jom Cari Makan,restaurant,N/A,3.1533260,101.5936564
Unnamed,cafe,N/A,3.1417375,101.6869907
TGI Fridays,restaurant,american,3.1492416,101.6164389
Poolview Cafeteria,restaurant,asian,3.1535356,101.6045591
Hakka,restaurant,chinese,3.1507057,101.7129496
Muar,restaurant,N/A,3.1456292,101.7068590
Anytime Dining,cafe,N/A,3.1450937,101.7076256
Park 28 Mutiara Damansara,restaurant,western,3.1557846,101.6130070
Ahmed Nasi Kandar Penang,restaurant,N/A,3.1452663,101.6982159
Tajudin Nasi Beriani,restaurant,N/A,3.1464391,101.6959811
Nomad’s,cafe,N/A,3.1437075,101.6958106
West Lake,restaurant,chinese,3.1430231,101.6985746
Jiu Pin,restaurant,chinese,3.1456042,101.7031348
AllAce Burger & Chicken,fast_food,N/A,3.1452823,101.6984154
Bol - Asian Reimagined,restaurant,N/A,3.1431274,101.7048622
Claypot Rice By The Roadside,fast_food,N/A,3.1449144,101.6986365
Sun Fong Baku teh,restaurant,N/A,3.1444541,101.7145184
Mitasu,restaurant,japanese,3.1491000,101.7117330
Noble House,restaurant,cantonese,3.1448060,101.7199590
Adyar Ananda Bhavan,restaurant,indian,3.1466393,101.7003397
Moontree House,cafe,cake;coffee_shop,3.1419750,101.6972237
Old Kasturi Kopitiam,restaurant,N/A,3.1428220,101.6959358
Dunkin',fast_food,donut;coffee_shop,3.1458007,101.7008030
Hwa Viet Kitchen,restaurant,N/A,3.1459166,101.7018121
KFC,fast_food,chicken,3.1450872,101.6986728
Sup Kambing Tangga,fast_food,N/A,3.1452467,101.6977313
Sisha's Place,restaurant,N/A,3.1429585,101.7088789
Wong Ah Wah,restaurant,chinese;seafood;chicken,3.1448910,101.7079037
Sutraa,restaurant,burger;indian,3.1477092,101.7078230
Grandmama's Pavillion Restaurant,restaurant,N/A,3.1494450,101.7122589
Ali Maju Cafe,restaurant,N/A,3.1546346,101.6654677
Restoran Loong Huang,restaurant,N/A,3.1457619,101.6964682
Mala Tang Jalan Sultan,restaurant,N/A,3.1436340,101.6985536
Chocha Foodstore,cafe,N/A,3.1408565,101.6980974
Ali Muthu & Ahhack,restaurant,N/A,3.1413972,101.6972637
Outback,restaurant,N/A,3.1444497,101.7093101
La Boca,restaurant,N/A,3.1498173,101.7130879
