ID,Name,Category,Subcategory,lat,lng,Nearest Station,Distance (m)
KA0002,KFC,Food,Fast Food,2.9917474,101.7887923,KG34 Stadium Kajang,385.8
KA0003,Sate Kajang Hj Samuri,Food,Restaurant,2.9935811,101.7870848,KG34 Stadium Kajang,111.6
KA0004,Malee Classic II,Food,Restaurant,2.9996241,101.7884951,KG33 Sungai Jernih,503.7
KA0005,McDonald's,Food,Fast Food,3.0901073,101.7415909,KG25 Taman Mutiara,188.2
KA0006,Secret Recipe,Food,Fast Food,3.0908222,101.7429635,KG25 Taman Mutiara,290.6
KA0008,Old Town,Food,Cafe,3.133234,101.6890616,KG15 Muzium Negara,474.2
KA0009,Dadi,Entertainment,Cinema,3.1492234,101.7125407,KG18A Bukit Bintang,359.1
KA0010,Restoran Win Heng Seng,Food,Restaurant,3.1454922,101.7150729,MR6 Bukit Bintang,403.9
KA0011,Hai Kah Kia,Food,Restaurant,3.1454249,101.714994,MR6 Bukit Bintang,396.6
KA0012,Steam Era Seafood Steamboat Restaurant,Food,Restaurant,3.1445994,101.7140074,MR6 Bukit Bintang,324.8
KA0013,Pizza Hut,Food,Restaurant,3.1445538,101.7139565,MR6 Bukit Bintang,322.6
KA0014,Chen Jiu Ru,Food,Restaurant,3.1443449,101.7131357,MR6 Bukit Bintang,265.8
KA0015,Restoran Chef Rasa Sayang,Food,Restaurant,3.144977,101.7139645,MR6 Bukit Bintang,301.4
KA0016,Restoran Oversea,Food,Restaurant,3.1445976,101.7134509,MR6 Bukit Bintang,273.4
KA0017,Restoran Fong Lye,Food,Restaurant,3.1447145,101.7135756,MR6 Bukit Bintang,277.3
KA0018,Pure Mind Vegetarian Restaurant,Food,Restaurant,3.14491,101.7138438,MR6 Bukit Bintang,292.4
KA0019,U Cafe,Food,Cafe,3.1450096,101.7114796,MR6 Bukit Bintang,118.3
KA0020,Starbucks,Food,Cafe,3.1447766,101.7115735,MR6 Bukit Bintang,144.6
KA0021,Tealive,Food,Cafe,3.1453167,101.7111404,MR6 Bukit Bintang,92.3
KA0022,Lotteria,Food,Fast Food,3.1575724,101.6124514,KG08 Mutiara Damansara,482
KA0023,Blue Boy Vegetarian Restaurant,Food,Restaurant,3.1448602,101.7061467,KG17 Merdeka,489.9
KA0024,Voilà Meat Free Restaurant,Food,Restaurant,3.1419175,101.6971822,KG16 Pasar Seni,113.6
KA0025,TGV Cinemas,Entertainment,Cinema,3.14833,101.6166414,KG09 Bandar Utama,304.8
KA0026,Shan Yuan Restuarant,Food,Restaurant,3.1533923,101.5917643,KG07 Surian,473.8
KA0027,Sate Kajang Hj Samuri,Food,Restaurant,2.9916234,101.788532,KG34 Stadium Kajang,374.5
KA0028,Restoran Malaysia,Food,Restaurant,2.9928041,101.7897131,KG34 Stadium Kajang,414.3
KA0029,Yishensu - A Vegetarian Connoisseur,Food,Restaurant,3.1493123,101.6166088,KG09 Bandar Utama,384
KA0030,Taste Vegetarian House,Food,Restaurant,3.1525762,101.5912879,KG07 Surian,426.4
KA0031,Love Health Vegetarian,Food,Restaurant,3.1505387,101.5926094,KG07 Surian,160.6
KA0032,Meeples European Boardgame Cafe,Food,Restaurant,3.1513817,101.5931037,KG07 Surian,209.3
KA0033,Starbucks,Food,Cafe,3.1526378,101.592608,KG07 Surian,359.3
KA0034,Tasty Chicken Rice,Food,Restaurant,3.1530554,101.5920018,KG07 Surian,428.5
KA0035,Galeri Sate,Culture,Museum,2.9945961,101.7847977,KG34 Stadium Kajang,166.8
KA0036,Medan Satay Kajang,Food,Restaurant,2.9942718,101.7852996,KG34 Stadium Kajang,102.7
KA0037,La Chica Mexicana,Food,Restaurant,3.1478855,101.7073937,KG18A Bukit Bintang,420.6
KA0038,Pinchos,Food,Restaurant,3.1479897,101.7072015,KG18A Bukit Bintang,444.7
KA0039,Lan Zhou Mee Tarik,Food,Restaurant,3.1463334,101.7078059,KG18A Bukit Bintang,343.2
KA0040,The Pirates Club KL,Food,Restaurant,3.1485587,101.7087168,KG18A Bukit Bintang,337.4
KA0041,Restoran Heritage One Station,Food,Restaurant,3.1404499,101.6935743,KJ14 Pasar Seni,292.9
KA0042,Starbucks,Food,Cafe,3.1493097,101.7127191,KG18A Bukit Bintang,377.7
KA0043,VCR,Food,Cafe,3.1432531,101.7054476,KG17 Merdeka,363.4
KA0044,Vistana Corner,Food,Restaurant,3.1426367,101.7043311,KG17 Merdeka,239.2
KA0045,Hadramawt Palace,Food,Restaurant,3.1474516,101.7215001,KG20 PY23 Tun Razak Exchange,543.9
KA0046,Levain,Food,Cafe,3.1461634,101.7204323,KG20 PY23 Tun Razak Exchange,376.8
KA0047,Al Andalus,Food,Restaurant,3.1453002,101.7202356,KG20 PY23 Tun Razak Exchange,278.8
KA0048,Fukuya,Food,Restaurant,3.1458916,101.7203257,KG20 PY23 Tun Razak Exchange,345.3
KA0049,Yarl,Food,Restaurant,3.1339617,101.6906715,KG15 Muzium Negara,511.5
KA0050,Unnamed,Food,Restaurant,3.1270573,101.7300419,KG22 Maluri,421.2
KA0051,Unnamed,Food,Restaurant,3.1276102,101.729716,KG22 Maluri,440.7
KA0052,Unnamed,Food,Restaurant,3.1277505,101.7296328,KG22 Maluri,447.3
KA0053,YW Coffee Shop,Food,Cafe,3.1456912,101.7073698,KG18A Bukit Bintang,400.2
KA0054,Noy Thai Seafood,Food,Restaurant,3.1462436,101.7091044,KG18A Bukit Bintang,200.1
KA0055,Birdnest Collective,Food,Cafe,3.1427638,101.6967977,KG16 Pasar Seni,68.3
KA0056,Al-Muhammadi,Food,Restaurant,3.1459712,101.7131361,MR6 Bukit Bintang,184
KA0057,Halab - Berangan,Food,Restaurant,3.1476624,101.7085848,KG18A Bukit Bintang,290.2
KA0058,Restaurant Yenn,Food,Restaurant,3.1460531,101.7093955,KG18A Bukit Bintang,172.1
KA0059,Cu Cha Restaurant,Food,Restaurant,3.146161,101.7095591,KG18A Bukit Bintang,151.6
KA0060,Lot 10 Hutong Food Court,Food,Food Court,3.1469293,101.7118546,MR6 Bukit Bintang,103.8
KA0061,Zu Chuan,Food,Restaurant,3.1459247,101.711946,MR6 Bukit Bintang,54.1
KA0062,Hong Kong's Food Culture,Food,Restaurant,3.144061,101.71048,MR6 Bukit Bintang,249.9
KA0063,Yusoof Dan Zakhir,Food,Restaurant,3.1450281,101.6958385,KJ14 Pasar Seni,294.1
KA0064,The Loaf Bakery & Bistro,Food,Cafe,3.1490063,101.7126152,KG18A Bukit Bintang,343.1
KA0065,Cafe de Paris,Food,Cafe,3.149116,101.7127059,KG18A Bukit Bintang,358.9
KA0066,Sushi Zanmai,Food,Restaurant,3.1473219,101.7132001,MR6 Bukit Bintang,236
KA0067,O'Briens,Food,Cafe,3.1519347,101.6667532,KG14 Semantan,189
KA0068,Vocational Training Opportunity Centre,Other,Community Centre,3.1429883,101.7017822,KG17 Merdeka,46.6
KA0069,Jom Cari Makan,Food,Restaurant,3.153326,101.5936564,KG07 Surian,414.5
KA0070,Unnamed,Food,Cafe,3.1417375,101.6869907,KG15 Muzium Negara,513.2
