Name,Category,Cuisine,lat,lng
Neo Steamboat,restaurant,chinese,3.2035127,101.7365065
Kak Eita Steamboat,restaurant,malaysian,3.2035773,101.7365607
Western Replublic,restaurant,international;malaysian,3.0994253,101.5906452
Warung Kopi Mak Jah,restaurant,N/A,2.9959328,101.5731613
Oversea Restaurant,restaurant,N/A,3.1043199,101.6401656
Old Town,cafe,N/A,3.1332340,101.6890616
Hard Rock Cafe,restaurant,american,3.1556171,101.7054722
McDonald's,fast_food,burger,3.0482247,101.5858100
Cristang,restaurant,N/A,3.1005907,101.6400402
Saravanaa Bhavan,restaurant,N/A,3.0999116,101.6442768
DH Nyonya Cafe,cafe,N/A,3.1003925,101.6398823
Mama Mia Restaurant & Bistro,restaurant,N/A,3.1001105,101.6450568
Restoran Sri Karak,restaurant,N/A,3.0996641,101.6453804
Syed Bistro,restaurant,mamak,3.1010276,101.6410560
Restoran Sederhana,restaurant,N/A,3.1016688,101.6401955
Sentrum Cafe and Bistro,cafe,N/A,3.1014023,101.6413517
Restoran Imperial Garden,restaurant,N/A,3.1043537,101.6400053
Out Of Africa,restaurant,N/A,3.1014532,101.6463192
Robin Hood,restaurant,N/A,3.1005479,101.6398846
Voilà Meat Free Restaurant,restaurant,N/A,3.1419175,101.6971822
Restoran SK Maju,restaurant,regional,3.1113322,101.6121271
Unnamed,restaurant,N/A,3.1107505,101.5907505
Ria Cafe,restaurant,N/A,3.1110044,101.5833260
Kapitan,restaurant,indian,3.1115058,101.5839617
Unnamed,restaurant,N/A,3.1116635,101.5835805
Unnamed,restaurant,N/A,3.1049701,101.6354376
Unnamed,restaurant,N/A,3.1049963,101.6347452
Piccadilly,restaurant,N/A,3.1053111,101.6348672
KFC,fast_food,chicken,3.1090697,101.6228167
Lucky Seafood,restaurant,chinese,3.1063717,101.6252403
Meng Kee Steam Soup,restaurant,chinese,3.1072582,101.6241406
Paramount 86,restaurant,coffee_shop,3.1080992,101.6239475
Gold Dragon City,restaurant,chinese,3.1068592,101.6249936
O&S,restaurant,coffee_shop,3.1077832,101.6248702
Loong Foong,restaurant,chinese,3.1061039,101.6256856
Aroma,restaurant,japanese,3.1113931,101.5843776
Unnamed,restaurant,N/A,3.1068281,101.6244978
Chidori Cafe,cafe,N/A,3.1105135,101.5836297
Memphis Bistro,restaurant,N/A,3.1114911,101.5843566
Golden Thyme Cafe,cafe,N/A,3.1112902,101.5843807
Ayam Kampung,restaurant,N/A,3.1111268,101.5830772
Canadian Pizza 2-for-1 Wangsa Maju,restaurant,N/A,3.1967990,101.7416491
Ghandhi's Vegetarian Corner,restaurant,indian,3.1344368,101.6921484
Restoran Chat Masala,restaurant,indian,3.1282035,101.6834589
Sri Kortumalai Pillayar,restaurant,indian,3.1295395,101.6840433
Saravanaa Bhavan,restaurant,indian,3.1310459,101.6859131
Nam Chew Coffee Shop,restaurant,chinese,3.1483213,101.6975995
Raj Bhavan,restaurant,indian,3.1489294,101.6973675
Lakshmi Vilas Superior,restaurant,indian,3.1490958,101.6975362
Durian Stall,cafe,durian,3.1134135,101.6075358
Unnamed,restaurant,chinese,3.2067062,101.7345692
Yu Mi Zhi Xiang,restaurant,N/A,3.0334460,101.5791725
Garden Heights,restaurant,asian,2.9930368,101.5745816
Oversea,restaurant,chinese,3.1042314,101.6411764
Muhibbah,restaurant,indian,3.1229028,101.6758676
Pizza Hut,restaurant,pizza,3.1288903,101.6798419
McDonald's,fast_food,burger,1.3576092,103.7506387
Restoran Heritage One Station,restaurant,malaysian,3.1404499,101.6935743
The Ganga Cafe,restaurant,indian,3.1226306,101.6709369
Starbucks,cafe,coffee_shop,3.1566188,101.7122560
Janova,restaurant,indian,3.1015412,101.6411921
Yarl,restaurant,indian,3.1339617,101.6906715
Baba Low's Bangsar,restaurant,asian,3.1225022,101.6711018
Shuang Siew,restaurant,chinese,3.1066666,101.6254469
Shi Zhi Jia,restaurant,chinese,3.1067175,101.6254255
Iskandar Mammak,restaurant,Mammak,3.1141993,101.5906844
Yun Lai Huat Dim Sum,restaurant,Dim_Sum,3.1149604,101.5906863
Happy Lucky Coffee Shop,restaurant,N/A,3.1141880,101.5896300
Ming Yang Coffee Shop,restaurant,N/A,3.1159437,101.5894664
Cubes Pizza,restaurant,pizza,3.1153545,101.5885123
Anak Kelantan,restaurant,malaysian,3.1153342,101.5888489
Restaurant Chaya Timur,restaurant,malaysian,3.1157200,101.5900141
Restoran Safi Bistro,restaurant,Mamak,3.1160129,101.5907268
Coffee Gems,cafe,Coffee_Distributor,3.1149709,101.5886382
Birdnest Collective,cafe,N/A,3.1427638,101.6967977
Sri Covai Restaurant,restaurant,N/A,3.1510161,101.6979194
Yusoof Dan Zakhir,restaurant,N/A,3.1450281,101.6958385
Unnamed,food_court,N/A,3.1503415,101.6998213
Antipodean,restaurant,N/A,3.1562637,101.7208175
Sany Cafe Char Koay Teow,restaurant,regional,3.1114561,101.6622179
Jaya,restaurant,indian,3.1318837,101.6876896
Dharma Realm Guan Yin Sagely Monastery Canteen,fast_food,N/A,3.1594183,101.7160297
Museum Cafe,cafe,N/A,3.1489986,101.6991275
Starbucks,cafe,coffee_shop,3.1543510,101.6991134
Secret Recipe,fast_food,cake;malaysian,3.1541750,101.6986209
RSMY,restaurant,indian,3.1547126,101.6977425
Nando's,restaurant,chicken;portuguese,3.1576778,101.7118211
Starbucks,cafe,coffee_shop,3.1596140,101.7186710
Starbucks,cafe,coffee_shop,3.1550373,101.7188015
Feeka Coffee Roasters,cafe,N/A,3.1540836,101.7184645
Kampachi,restaurant,japanese,3.1579912,101.7181080
Suasana,restaurant,indian,3.1210220,101.6756691
Restoran Leeyas Corner,restaurant,malay,3.1230782,101.6758556
Selera Ampang,restaurant,N/A,3.1589121,101.7145698
Baba Low,restaurant,N/A,3.1301142,101.6802111
Ahmed Nasi Kandar Penang,restaurant,N/A,3.1452663,101.6982159
Tajudin Nasi Beriani,restaurant,N/A,3.1464391,101.6959811
TWT Coffee,cafe,N/A,3.1537791,101.6994015
Nomad’s,cafe,N/A,3.1437075,101.6958106
Kafe Kleptokrat,restaurant,malaysian,3.1489679,101.6981704
West Lake,restaurant,chinese,3.1430231,101.6985746
Yut Kee,restaurant,chinese,3.1564828,101.7003022
AllAce Burger & Chicken,fast_food,N/A,3.1452823,101.6984154
Chef Shan,restaurant,N/A,3.1534661,101.7053725
Claypot Rice By The Roadside,fast_food,N/A,3.1449144,101.6986365
Warong Mak Leha,restaurant,N/A,3.1609552,101.7016280
Restoran Golden Junction,restaurant,N/A,3.1576424,101.7008379
Moontree House,cafe,cake;coffee_shop,3.1419750,101.6972237
Old Kasturi Kopitiam,restaurant,N/A,3.1428220,101.6959358
KFC,fast_food,chicken,3.1450872,101.6986728
Sup Kambing Tangga,fast_food,N/A,3.1452467,101.6977313
PODs The Backpackers Home & Cafe,cafe,N/A,3.1317956,101.6878915
Anjappar,restaurant,indian,3.1487720,101.6972123
Mama San,restaurant,N/A,3.1584830,101.7118871
Madam Kwan's,restaurant,N/A,3.1567627,101.7119661
Ristorante Moghul Mahal,restaurant,N/A,3.1530757,101.7037119
Lokl Coffee Co,cafe,N/A,3.1487879,101.6979943
McDonald's,fast_food,burger,3.1490335,101.6969411
Restoran Loong Huang,restaurant,N/A,3.1457619,101.6964682
Betel Leaf,restaurant,N/A,3.1494005,101.6979006
Mala Tang Jalan Sultan,restaurant,N/A,3.1436340,101.6985536
Chocha Foodstore,cafe,N/A,3.1408565,101.6980974
Ali Muthu & Ahhack,restaurant,N/A,3.1413972,101.6972637
B & Best Seafood Restaurant,restaurant,N/A,3.1106329,101.6034408
Restoran Kiew Yee Baru,restaurant,chinese,3.1438365,101.6966932
Uzen,restaurant,japanese,3.1554201,101.7056443
Jungle Cafe,cafe,N/A,3.1525928,101.7035109
Unnamed,cafe,N/A,3.1526294,101.7038506
Melur & Thyme,restaurant,N/A,3.1577902,101.7131719
The Apartment,restaurant,N/A,3.1573162,101.7131370
Le Shady Trinity,cafe,N/A,3.1428954,101.6964298
Naatamai Garden,restaurant,indian,3.1281222,101.6828709
Ali-Sons Nasi Kandar,restaurant,N/A,3.1452529,101.6980753
Rasta Cafe & Bar,cafe,N/A,3.1428073,101.6965989
Nam Heong,restaurant,chinese,3.1435269,101.6985493
Sithique Nasi Kandar,restaurant,N/A,3.1309367,101.6857230
KFC,fast_food,chicken,3.1347778,101.6864741
Merchant's Lane,cafe,N/A,3.1410448,101.6980959
Subway,fast_food,sandwich,3.1575235,101.7127350
KungFu Bake Rice,fast_food,N/A,3.1569928,101.7120473
Fast & Yummy Shawarma,fast_food,arab,3.1453460,101.6969164
Unnamed,food_court,N/A,3.1525056,101.6973081
Murni,restaurant,malaysian,3.0469256,101.5875076
Koopeecatz,cafe,N/A,3.0470181,101.5872841
Meteora,cafe,N/A,3.0472564,101.5874798
Old China Café,restaurant,asian,3.1413844,101.6973506
Le Monde Cafe,cafe,N/A,3.1466716,101.6958311
Chilly Pan Mee,restaurant,N/A,3.0472022,101.5868975
Canadian Pizza,fast_food,pizza,3.0471620,101.5868412
Domino's,fast_food,pizza,3.0473803,101.5870678
Restoran Nora,restaurant,N/A,3.0468888,101.5904628
Restoran Yeo Ye,restaurant,N/A,3.0471057,101.5902054
Restoran Goodyear,restaurant,N/A,3.0471821,101.5901061
