ID,Name,Category,Subcategory,lat,lng,Nearest Station,Distance (m)
KE0002,Neo Steamboat,Food,Restaurant,3.2035127,101.7365065,KJ4 Sri Rampai,500.7
KE0004,Kak Eita Steamboat,Food,Restaurant,3.2035773,101.7365607,KJ4 Sri Rampai,506.7
KE0005,Western Replublic,Food,Restaurant,3.0994253,101.5906452,KJ27 Glenmarie,399.3
KE0006,Warung Kopi Mak Jah,Food,Restaurant,2.9959328,101.5731613,SP31 KJ37 Putra Heights,268.8
KE0007,Oversea Restaurant,Food,Restaurant,3.1043199,101.6401656,KJ21 Asia Jaya,270
KE0008,Old Town,Food,Cafe,3.133234,101.6890616,MR1 KL Sentral (Monorail),144.2
KE0009,Hard Rock Cafe,Food,Restaurant,3.1556171,101.7054722,KJ12 Dang Wangi,401.3
KE0010,McDonald's,Food,Fast Food,3.0482247,101.58581,KJ32 Taipan,484.2
KE0011,Cristang,Food,Restaurant,3.1005907,101.6400402,KJ21 Asia Jaya,490.6
KE0012,Saravanaa Bhavan,Food,Restaurant,3.0999116,101.6442768,KJ20 Taman Jaya,475.4
KE0013,DH Nyonya Cafe,Food,Cafe,3.1003925,101.6398823,KJ21 Asia Jaya,501
KE0014,Mama Mia Restaurant & Bistro,Food,Restaurant,3.1001105,101.6450568,KJ20 Taman Jaya,440
KE0015,Restoran Sri Karak,Food,Restaurant,3.0996641,101.6453804,KJ20 Taman Jaya,488.7
KE0016,Syed Bistro,Food,Restaurant,3.1010276,101.641056,KJ21 Asia Jaya,522.4
KE0017,Restoran Sederhana,Food,Restaurant,3.1016688,101.6401955,KJ21 Asia Jaya,404.8
KE0018,Sentrum Cafe and Bistro,Food,Cafe,3.1014023,101.6413517,KJ21 Asia Jaya,518.7
KE0019,Restoran Imperial Garden,Food,Restaurant,3.1043537,101.6400053,KJ21 Asia Jaya,252.1
KE0020,Out Of Africa,Food,Restaurant,3.1014532,101.6463192,KJ20 Taman Jaya,310.4
